tract,stop_count,tract_area_m,total_route_length_m,total_route_count,total_route_length_to_area_ratio,population,population_with_income_to_poverty_level_under_0.50,population_with_income_to_poverty_level_between_0.50_and_0.99,population_in_labor_force,population_with_rent_>=50_percent_of_household_income,male_population,female_population,population_that_utilizes_public_transportation,distance_from_commute_hub_1
100,7,2178075.329367403,8986.306744236696,1,0.004125801630032082,2956.0,42.0,6.0,1222.0,11.0,1425.0,1531.0,0.0,0.04908266307446425
201,7,1225291.2785193338,8083.022291827076,2,0.0065968169638771605,2309.0,92.0,54.0,1130.0,84.0,1018.0,1291.0,9.0,0.045199098078666504
202,11,1851316.3964221354,23632.213877905553,2,0.012765086466893127,4116.0,171.0,0.0,2570.0,243.0,2160.0,1956.0,85.0,0.03810007571773466
301,8,569555.4161826347,18651.82114056897,5,0.03274803576723084,2250.0,78.0,308.0,1614.0,200.0,1204.0,1046.0,55.0,0.036690428070539835
302,16,704460.7730121324,50905.163268401295,9,0.07226117509814077,3042.0,33.0,169.0,2135.0,239.0,1599.0,1443.0,96.0,0.035475039210573385
400,17,1669388.403542203,69188.37416187253,9,0.04144534250691134,3607.0,158.0,35.0,2379.0,402.0,2116.0,1491.0,140.0,0.043417178956614164
500,3,1572093.254422997,20911.634108484235,7,0.013301777136725519,3045.0,128.0,78.0,1810.0,103.0,1452.0,1593.0,59.0,0.053263975919126766
600,15,1322567.3165566013,118287.51861811963,10,0.08943780565067165,3196.0,180.0,67.0,2322.0,197.0,1887.0,1309.0,12.0,0.04576181915036943
700,11,1105730.3446141095,77067.58189485484,10,0.06969835120311432,4342.0,117.0,264.0,2736.0,251.0,2316.0,2026.0,15.0,0.03936559833952447
800,6,898541.3832446137,22198.28370745658,5,0.0247047983781215,5230.0,249.0,102.0,3408.0,488.0,2968.0,2262.0,89.0,0.04240786764761093
901,9,496958.8711761216,19259.78647262287,5,0.03875529262017586,3310.0,96.0,161.0,2701.0,269.0,1757.0,1553.0,93.0,0.04924022414811943
902,10,384428.1586303456,36292.100134096545,5,0.09440541573072934,2208.0,149.0,88.0,1304.0,82.0,1068.0,1140.0,49.0,0.04714037444563979
1000,20,1204062.201106155,44591.799788983095,5,0.037034465285943896,4327.0,80.0,187.0,2883.0,257.0,2123.0,2204.0,78.0,0.05542975268042501
1100,10,1327344.0502845943,20893.275980352177,4,0.015740663451855208,3083.0,57.0,44.0,2071.0,156.0,1659.0,1424.0,20.0,0.06288454166540698
1201,5,451596.8994527336,14622.701048777744,4,0.03237998548373167,2478.0,104.0,96.0,1516.0,227.0,1106.0,1372.0,103.0,0.06054777397226499
1202,2,520846.05463359854,14220.294786694123,3,0.02730229913462189,3132.0,310.0,83.0,2275.0,340.0,1815.0,1317.0,172.0,0.05762538230766076
1301,11,499285.65711733565,28586.948385201293,6,0.05725569716993324,2761.0,110.0,143.0,2223.0,218.0,1371.0,1390.0,81.0,0.05571762438604544
1302,4,623468.9806421101,27022.792971036255,5,0.043342642232506105,3329.0,116.0,8.0,2548.0,242.0,1790.0,1539.0,98.0,0.051947012782220046
1400,10,1057935.380288642,25179.222877226304,4,0.023800341066537098,3515.0,210.0,160.0,2373.0,312.0,1795.0,1720.0,14.0,0.04739122047693087
