Total,Less than 5 mins,5 to 10 Mins,10 to 15 Mins,15 to 20 Mins,20 to 25 Mins,25 to 30 Mins,30 to 35 Mins,35 to 40 Mins,40 to 45 Mins,45 to 60 Mins,60 to 90 Mins,More than 90 Mins,Total Population,Mean Time,Mean Time 2,tract
982.0,7.0,68.0,152.0,261.0,152.0,75.0,158.0,0.0,44.0,60.0,0.0,5.0,2956.0,23.06262729124236,21.018329938900205,100
935.0,21.0,166.0,161.0,184.0,122.0,10.0,117.0,19.0,52.0,74.0,0.0,9.0,2309.0,21.581283422459894,20.02139037433155,201
2184.0,23.0,118.0,408.0,553.0,444.0,98.0,261.0,0.0,21.0,136.0,88.0,34.0,4116.0,23.605311355311354,22.513736263736263,202
1376.0,29.0,23.0,352.0,245.0,224.0,69.0,150.0,49.0,12.0,131.0,51.0,41.0,2250.0,24.584120639534884,25.265261627906977,301
1860.0,36.0,397.0,258.0,337.0,226.0,55.0,342.0,57.0,21.0,94.0,9.0,28.0,3042.0,20.734408602150538,19.739247311827956,302
2317.0,16.0,235.0,524.0,367.0,297.0,159.0,290.0,66.0,68.0,205.0,90.0,0.0,3607.0,25.11167457919724,22.05438066465257,400
1447.0,6.0,141.0,248.0,348.0,228.0,103.0,162.0,47.0,73.0,40.0,21.0,30.0,3045.0,22.142363510711817,21.52384243261921,500
1934.0,0.0,108.0,296.0,598.0,178.0,251.0,238.0,27.0,47.0,128.0,20.0,43.0,3196.0,23.205532574974146,22.686142709410547,600
2341.0,49.0,162.0,518.0,345.0,465.0,150.0,273.0,34.0,72.0,182.0,51.0,40.0,4342.0,23.524348568987612,24.141392567278942,700
2759.0,17.0,293.0,719.0,499.0,398.0,47.0,472.0,16.0,44.0,121.0,75.0,58.0,5230.0,21.756161652772743,21.786879304095688,800
2486.0,16.0,162.0,484.0,604.0,458.0,183.0,154.0,86.0,60.0,191.0,31.0,57.0,3310.0,22.684131134352373,22.982703137570393,901
1261.0,0.0,12.0,78.0,265.0,264.0,71.0,281.0,11.0,47.0,49.0,113.0,70.0,2208.0,28.705194290245835,30.321173671689134,902
2538.0,34.0,232.0,599.0,370.0,298.0,189.0,361.0,93.0,41.0,86.0,235.0,0.0,4327.0,26.325453112687157,22.95311268715524,1000
1610.0,0.0,51.0,269.0,469.0,344.0,200.0,162.0,56.0,11.0,23.0,25.0,0.0,3083.0,22.4305900621118,19.888198757763973,1100
954.0,0.0,7.0,140.0,161.0,214.0,99.0,194.0,0.0,0.0,37.0,102.0,0.0,2478.0,29.41745283018868,25.455974842767297,1201
1988.0,15.0,50.0,327.0,540.0,360.0,205.0,157.0,74.0,101.0,104.0,55.0,0.0,3132.0,24.883551307847082,22.125251509054326,1202
1851.0,40.0,58.0,301.0,491.0,355.0,81.0,291.0,12.0,40.0,110.0,72.0,0.0,2761.0,24.80551053484603,21.7882225823879,1301
2140.0,26.0,158.0,506.0,374.0,365.0,135.0,355.0,0.0,46.0,111.0,53.0,11.0,3329.0,23.069042056074768,20.726635514018692,1302
1898.0,21.0,274.0,357.0,339.0,288.0,58.0,178.0,104.0,146.0,41.0,43.0,49.0,3515.0,22.052291886195995,23.116438356164384,1400
2556.0,102.0,107.0,455.0,582.0,302.0,275.0,351.0,100.0,89.0,83.0,105.0,5.0,3908.0,24.44473787167449,21.654929577464788,1500
2698.0,0.0,101.0,711.0,455.0,279.0,237.0,435.0,12.0,147.0,168.0,88.0,65.0,5625.0,24.721830985915492,25.5763528539659,1600
2682.0,85.0,34.0,500.0,511.0,545.0,97.0,429.0,0.0,164.0,109.0,75.0,133.0,4244.0,23.44416480238628,25.93959731543624,1700
1024.0,0.0,26.0,81.0,373.0,285.0,5.0,156.0,0.0,51.0,10.0,37.0,0.0,1847.0,24.2431640625,21.2646484375,1801
2068.0,9.0,224.0,320.0,271.0,374.0,234.0,154.0,61.0,20.0,49.0,268.0,84.0,3269.0,27.138418762088975,28.145551257253384,1802
1495.0,27.0,104.0,161.0,316.0,381.0,91.0,257.0,9.0,49.0,100.0,0.0,0.0,2993.0,23.754180602006688,21.123745819397993,1900
1124.0,0.0,45.0,167.0,257.0,232.0,60.0,116.0,79.0,73.0,44.0,36.0,15.0,3236.0,25.487989323843415,24.47064056939502,2001
1286.0,7.0,47.0,169.0,351.0,218.0,174.0,146.0,24.0,22.0,77.0,39.0,12.0,2592.0,24.791407465007776,23.188180404354586,2002
2967.0,43.0,189.0,532.0,647.0,750.0,176.0,265.0,23.0,148.0,113.0,81.0,0.0,5214.0,23.260279743849004,20.544320862824403,2100
1323.0,6.0,78.0,48.0,231.0,250.0,95.0,373.0,32.0,106.0,69.0,18.0,17.0,3376.0,27.435563114134542,25.925925925925927,2201
2650.0,79.0,132.0,325.0,588.0,690.0,115.0,144.0,126.0,122.0,83.0,203.0,43.0,5807.0,25.819150943396227,24.32264150943396,2202
1238.0,0.0,80.0,248.0,224.0,199.0,51.0,225.0,0.0,26.0,122.0,47.0,16.0,2908.0,25.749596122778676,23.905492730210018,2301
2923.0,51.0,17.0,439.0,870.0,422.0,299.0,222.0,0.0,24.0,147.0,365.0,67.0,6673.0,28.070218953130347,27.34348272322956,2302
2305.0,0.0,115.0,362.0,394.0,362.0,139.0,454.0,29.0,59.0,118.0,97.0,176.0,4955.0,24.338177874186552,30.563991323210413,2401
2201.0,0.0,71.0,336.0,665.0,310.0,94.0,242.0,6.0,92.0,140.0,171.0,74.0,4879.0,26.415265788278056,26.42208087233076,2402
2454.0,8.0,184.0,35.0,593.0,234.0,189.0,559.0,56.0,106.0,114.0,336.0,40.0,5034.0,32.05521597392013,30.35248573757131,2501
2526.0,0.0,107.0,425.0,545.0,432.0,187.0,327.0,79.0,45.0,75.0,267.0,37.0,7034.0,27.711302454473476,25.558194774346795,2502
2318.0,55.0,47.0,272.0,398.0,672.0,204.0,365.0,87.0,49.0,145.0,24.0,0.0,5551.0,25.125647109577223,22.47411561691113,2601
1876.0,0.0,12.0,408.0,233.0,365.0,98.0,341.0,13.0,85.0,267.0,49.0,5.0,4794.0,28.31383262260128,25.362473347547976,2602
2392.0,0.0,180.0,190.0,467.0,606.0,209.0,403.0,42.0,71.0,187.0,20.0,17.0,5609.0,25.223348662207357,23.095735785953178,2702
3149.0,0.0,108.0,156.0,545.0,910.0,277.0,393.0,50.0,53.0,284.0,373.0,0.0,6982.0,31.8342330898698,27.619879326770402,2703
1526.0,0.0,17.0,124.0,217.0,387.0,192.0,215.0,7.0,62.0,94.0,131.0,80.0,4158.0,28.919397116644824,33.80078636959371,2705
1838.0,0.0,0.0,391.0,393.0,342.0,157.0,226.0,0.0,113.0,96.0,120.0,0.0,5553.0,27.197497279651795,24.004352557127312,2707
1909.0,17.0,74.0,333.0,249.0,308.0,192.0,317.0,64.0,70.0,108.0,161.0,16.0,5080.0,28.694080670508118,26.581980094290206,2708
1539.0,5.0,90.0,158.0,60.0,335.0,155.0,371.0,0.0,80.0,68.0,86.0,131.0,3972.0,26.64522417153996,31.90383365821962,2709
1695.0,63.0,48.0,130.0,314.0,276.0,170.0,307.0,54.0,22.0,103.0,117.0,91.0,3771.0,26.942920353982302,28.545722713864308,2710
1385.0,5.0,46.0,95.0,456.0,271.0,41.0,244.0,40.0,49.0,100.0,31.0,7.0,3423.0,25.89350180505415,23.67509025270758,2711
2352.0,6.0,87.0,200.0,341.0,440.0,291.0,281.0,13.0,89.0,500.0,104.0,0.0,5678.0,31.72406462585034,27.846513605442176,2712
952.0,20.0,144.0,140.0,248.0,148.0,69.0,52.0,28.0,52.0,42.0,9.0,0.0,2516.0,21.310924369747898,18.702731092436974,2801
2675.0,46.0,221.0,377.0,362.0,628.0,276.0,364.0,93.0,150.0,87.0,38.0,33.0,4872.0,23.80252336448598,22.671028037383177,2803
2109.0,41.0,212.0,382.0,487.0,212.0,271.0,335.0,52.0,33.0,51.0,33.0,0.0,5659.0,22.104196301564723,19.521100047415835,2804
2846.0,13.0,84.0,341.0,450.0,642.0,342.0,482.0,0.0,48.0,234.0,115.0,95.0,6166.0,26.46644413211525,26.509135628952915,2902
2250.0,58.0,44.0,112.0,502.0,390.0,189.0,305.0,70.0,84.0,322.0,161.0,13.0,4224.0,31.022444444444446,27.797777777777778,2903
3453.0,28.0,323.0,579.0,623.0,412.0,121.0,516.0,102.0,102.0,395.0,109.0,143.0,9844.0,25.245076744859542,26.119316536345206,2904
2244.0,10.0,93.0,327.0,496.0,387.0,187.0,270.0,136.0,180.0,113.0,45.0,0.0,4541.0,25.93616310160428,23.478163992869874,2905
2314.0,0.0,95.0,392.0,334.0,418.0,196.0,282.0,16.0,185.0,183.0,147.0,66.0,4949.0,27.89898444252377,27.87381158167675,3001
2303.0,68.0,55.0,138.0,498.0,493.0,247.0,465.0,65.0,51.0,27.0,109.0,87.0,5588.0,25.28191489361702,25.825010855405992,3003
2117.0,0.0,0.0,88.0,434.0,569.0,135.0,343.0,71.0,167.0,138.0,121.0,51.0,5456.0,29.50968351440718,29.204062352385453,3004
1736.0,0.0,6.0,123.0,351.0,462.0,222.0,321.0,32.0,20.0,130.0,28.0,41.0,4089.0,26.304723502304146,26.408410138248847,3101
2424.0,0.0,59.0,19.0,218.0,693.0,132.0,355.0,155.0,93.0,542.0,126.0,32.0,6069.0,34.26588283828383,31.957508250825082,3103
2296.0,60.0,9.0,138.0,225.0,346.0,202.0,490.0,62.0,120.0,522.0,108.0,14.0,5203.0,34.061628919860624,31.010452961672474,3105
2241.0,0.0,53.0,143.0,255.0,884.0,144.0,180.0,40.0,22.0,216.0,210.0,94.0,5338.0,29.418340026773762,30.30789825970549,3107
1553.0,0.0,65.0,185.0,250.0,494.0,36.0,181.0,33.0,32.0,136.0,74.0,67.0,3563.0,26.068254990341273,28.705730843528656,3108
1515.0,31.0,46.0,251.0,257.0,162.0,52.0,294.0,95.0,45.0,135.0,71.0,76.0,3492.0,26.804455445544555,28.884488448844884,3109
2383.0,3.0,22.0,225.0,464.0,500.0,189.0,493.0,160.0,114.0,116.0,77.0,20.0,6681.0,27.827947964750315,25.606378514477548,3111
1673.0,0.0,94.0,63.0,283.0,327.0,107.0,426.0,54.0,105.0,127.0,87.0,0.0,3908.0,30.066796174536762,26.736401673640167,3112
2114.0,23.0,40.0,195.0,342.0,396.0,283.0,407.0,64.0,64.0,203.0,69.0,28.0,4597.0,28.241840113528855,27.49763481551561,3113
1442.0,5.0,37.0,62.0,97.0,246.0,313.0,239.0,74.0,57.0,141.0,90.0,81.0,3560.0,30.553224687933426,33.85575589459084,3114
2103.0,33.0,9.0,159.0,346.0,415.0,129.0,337.0,61.0,186.0,224.0,192.0,12.0,5866.0,32.543271516880644,29.403233475986685,3115
2270.0,26.0,42.0,93.0,361.0,929.0,162.0,365.0,71.0,90.0,20.0,103.0,8.0,5372.0,26.584801762114537,24.237885462555067,3201
2044.0,0.0,40.0,245.0,280.0,359.0,67.0,237.0,100.0,0.0,272.0,344.0,100.0,4654.0,34.14041095890411,34.403131115459885,3202
1247.0,40.0,12.0,190.0,280.0,140.0,30.0,181.0,48.0,80.0,160.0,20.0,66.0,3200.0,26.032477947072977,27.830793905372897,3204
3122.0,0.0,247.0,216.0,740.0,677.0,249.0,159.0,8.0,267.0,278.0,194.0,87.0,6413.0,27.42216527866752,28.43209481101858,3207
2862.0,56.0,60.0,205.0,896.0,351.0,151.0,555.0,48.0,55.0,119.0,366.0,0.0,6788.0,30.32311320754717,26.595038434661078,3208
2516.0,8.0,105.0,256.0,722.0,512.0,210.0,260.0,120.0,127.0,83.0,97.0,16.0,5424.0,25.412658982511925,23.008744038155804,3209
